Date,Open,High,Low,Close,Volume,Adj Close
2005-01-17,490000,494500,482500,492500,1235900,464406.78
2005-01-18,490000,490500,484500,486000,604800,458277.56
2005-01-19,486000,488500,479000,480000,457000,452619.81
2005-01-20,480000,485000,475500,480000,385400,452619.81
2005-01-21,475000,486000,475000,486000,300600,458277.56
2005-01-24,482500,488000,477500,488000,381400,460163.47
2005-01-25,480000,485000,479000,483500,363300,455920.16
2005-01-26,485000,493500,484500,490500,497700,462520.87
2005-01-27,495000,495000,490500,492000,399800,463935.31
2005-01-28,491500,491500,480000,489000,284400,461106.43
2005-01-31,488000,495000,484000,495000,329300,466764.18
2005-02-01,495000,498500,491500,491500,437100,463463.83
2005-02-02,491500,494000,486500,490500,395000,462520.87
2005-02-03,486000,497000,486000,496000,348900,467707.14
2005-02-04,494000,498500,493000,495500,257100,467235.66
2005-02-07,506000,512000,503000,510000,678700,480908.55
2005-02-08,510000,510000,510000,510000,0,480908.55
2005-02-09,510000,510000,510000,510000,0,480908.55
2005-02-10,510000,510000,510000,510000,0,480908.55
2005-02-11,505000,509000,501000,506000,517700,477136.72
2005-02-14,513000,522000,510000,517000,565300,487509.25
2005-02-15,520000,521000,511000,519000,534900,489395.17
2005-02-16,522000,531000,518000,520000,480200,490338.13
2005-02-17,517000,522000,515000,517000,350200,487509.25
2005-02-18,518000,527000,514000,527000,367100,496938.83
2005-02-21,530000,532000,524000,528000,468600,497881.79
2005-02-22,528000,529000,518000,522000,357100,492224.04
2005-02-23,514000,516000,509000,511000,394900,481851.51
2005-02-24,510000,520000,507000,519000,419700,489395.17
2005-02-25,524000,529000,521000,522000,417600,492224.04
2005-02-28,530000,531000,521000,527000,554100,496938.83
2005-03-01,527000,527000,527000,527000,0,496938.83
2005-03-02,525000,528000,517000,517000,548500,487509.25
2005-03-03,515000,526000,512000,519000,606700,489395.17
2005-03-04,517000,517000,508000,510000,488200,480908.55
2005-03-07,515000,515000,500000,507000,590300,478079.67
2005-03-08,507000,508000,500000,502000,527600,473364.88
2005-03-09,499000,500000,491500,500000,497800,471478.97
2005-03-10,503000,508000,499500,499500,632600,471007.49
2005-03-11,507000,519000,504000,519000,640200,489395.17
2005-03-14,513000,516000,508000,510000,416900,480908.55
2005-03-15,512000,514000,499000,502000,500600,473364.88
2005-03-16,499000,504000,495500,503000,370900,474307.84
2005-03-17,493000,498500,492000,496000,417500,467707.14
2005-03-18,493000,498000,493000,495000,255000,466764.18
2005-03-21,491500,499000,490000,492000,335400,463935.31
2005-03-22,493000,501000,489500,496000,315900,467707.14
2005-03-23,493000,499500,491500,498500,318400,470064.53
2005-03-24,501000,506000,497500,503000,402000,474307.84
2005-03-25,505000,506000,500000,505000,217500,476193.76
2005-03-28,510000,511000,507000,510000,179600,480908.55
2005-03-29,510000,511000,500000,502000,337100,473364.88
2005-03-30,494000,499500,494000,498000,362900,469593.05
2005-03-31,506000,507000,501000,502000,346700,473364.88
2005-04-01,502000,516000,500000,512000,453100,482794.46
2005-04-04,512000,517000,510000,517000,344300,487509.25
2005-04-05,517000,517000,517000,517000,0,487509.25
2005-04-06,518000,520000,510000,518000,410100,488452.21
2005-04-07,518000,520000,515000,518000,357100,488452.21
2005-04-08,524000,525000,520000,522000,278900,492224.04
2005-04-11,522000,522000,516000,517000,191300,487509.25
2005-04-12,516000,520000,513000,520000,207700,490338.13
2005-04-13,518000,520000,516000,518000,213500,488452.21
2005-04-14,513000,514000,502000,502000,663500,473364.88
2005-04-15,500000,502000,489000,491500,866900,463463.83
2005-04-18,473500,481500,472000,476000,864900,448847.98
2005-04-19,477000,480000,474000,474000,602900,446962.06
2005-04-20,478500,483000,469000,470000,657700,443190.23
2005-04-21,462000,470000,457500,466000,586400,439418.4
2005-04-22,475000,476000,467000,467000,334500,440361.36
2005-04-25,462000,474500,462000,474500,328700,447433.54
2005-04-26,474500,474500,471000,471000,187500,444133.19
2005-04-27,463000,467000,461000,464000,411800,437532.48
2005-04-28,463000,463500,457000,460000,394000,433760.65
2005-04-29,452000,456500,449500,452000,585500,426216.99
2005-05-02,456000,458000,450000,455500,236900,429517.34
2005-05-03,455000,461500,452500,455000,277400,429045.86
2005-05-04,455000,467000,455000,464500,346300,438003.96
2005-05-05,464500,464500,464500,464500,0,438003.96
2005-05-06,466500,475500,466500,474000,493600,446962.06
2005-05-09,475000,477500,470500,475000,400700,447905.02
2005-05-10,478000,479500,475500,477000,213500,449790.94
2005-05-11,475000,475500,471500,472000,346000,445076.15
2005-05-12,474000,480000,474000,475000,417200,447905.02
2005-05-13,475000,485000,472000,481500,410900,454034.25
2005-05-16,485000,490000,484000,488000,347000,460163.47
2005-05-17,490000,493000,483500,489500,363500,461577.91
2005-05-18,494500,495000,489000,489500,341900,461577.91
2005-05-19,493000,501000,492500,498500,508700,470064.53
2005-05-20,499500,502000,495000,498500,233700,470064.53
2005-05-23,496000,498500,494500,498000,160900,469593.05
2005-05-24,496500,498500,493000,495000,255000,466764.18
2005-05-25,493500,496500,483500,484500,426300,456863.12
2005-05-26,481500,485000,479500,482000,277900,454505.73
2005-05-27,490000,493000,486500,490000,375500,462049.39
2005-05-30,490000,494000,490000,493500,228700,465349.74
2005-05-31,492500,494000,486500,489000,445500,461106.43
2005-06-01,483500,489500,483000,489000,330900,461106.43
2005-06-02,495000,495500,487500,487500,366400,459691.99
2005-06-03,488000,491500,485500,488000,353500,460163.47
2005-06-06,488000,488000,488000,488000,0,460163.47
2005-06-07,484000,485000,480000,480500,482500,453091.29
2005-06-08,478000,481000,475000,477500,535700,450262.42
2005-06-09,475500,480000,471500,480000,750400,452619.81
2005-06-10,480000,494500,477000,491500,812900,463463.83
2005-06-13,491500,499500,491500,498000,455300,469593.05
2005-06-14,498000,501000,494000,496500,389900,468178.62
2005-06-15,496500,500000,494500,500000,449200,471478.97
2005-06-16,500000,502000,497000,498500,367900,470064.53
2005-06-17,499000,499500,491500,493500,478900,465349.74
2005-06-20,493500,494000,489500,490500,332100,462520.87
2005-06-21,490500,491500,486000,488000,405200,460163.47
2005-06-22,488000,494000,487000,493000,393000,464878.26
2005-06-23,493000,499000,492000,498000,519800,469593.05
2005-06-24,496000,496000,489000,491000,435600,462992.35
2005-06-27,489000,489000,483000,488500,561000,460634.95
2005-06-28,488500,490500,485500,489500,370600,461577.91
2005-06-29,490000,492500,488000,490000,383700,462049.39
2005-06-30,490000,498000,490000,494000,396700,465821.22
2005-07-01,494000,501000,493000,501000,531100,472421.93
2005-07-04,505000,509000,501000,503000,313100,474307.84
2005-07-05,504000,507000,500000,502000,186000,473364.88
2005-07-06,503000,507000,503000,504000,269100,475250.8
2005-07-07,504000,519000,504000,516000,638200,486566.3
2005-07-08,517000,522000,516000,516000,393300,486566.3
2005-07-11,525000,535000,525000,533000,691700,502596.58
2005-07-12,540000,548000,537000,541000,936700,510140.24
2005-07-13,543000,547000,539000,547000,509300,515797.99
2005-07-14,549000,551000,547000,547000,577700,515797.99
2005-07-15,548000,550000,539000,542000,522100,511083.2
2005-07-18,543000,552000,541000,549000,424400,517683.91
2005-07-19,550000,562000,549000,561000,675700,528999.4
2005-07-20,562000,567000,555000,558000,600500,526170.53
2005-07-21,565000,568000,558000,563000,535600,530885.32
2005-07-22,559000,560000,546000,552000,551500,520512.78
2005-07-25,552000,557000,552000,555000,369100,523341.66
2005-07-26,556000,558000,547000,551000,412600,519569.82
